Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,PerformanceRating,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany
38,0,Non-Travel,573,Research & Development,6,3,Medical,1,107,2,Female,2,Research Scientist,4,Divorced,5329,3,17,3,3,13
49,0,Travel_Rarely,470,Research & Development,20,4,Medical,1,170,3,Female,2,Manufacturing Director,1,Married,6567,3,16,2,2,15
39,0,Travel_Rarely,1329,Sales,4,4,Life Sciences,1,182,4,Female,2,Sales Executive,3,Married,5902,3,17,1,4,15
40,0,Travel_Rarely,630,Sales,4,4,Marketing,1,215,3,Male,3,Sales Executive,4,Married,10855,3,15,2,2,12
36,0,Travel_Rarely,1396,Research & Development,5,2,Life Sciences,1,304,4,Male,2,Laboratory Technician,2,Single,5914,3,16,3,4,13
37,0,Non-Travel,1063,Research & Development,25,5,Medical,1,529,2,Female,2,Research Scientist,3,Married,4449,3,15,2,3,13
35,0,Travel_Rarely,1017,Research & Development,6,4,Life Sciences,1,691,2,Male,2,Research Scientist,4,Single,6646,3,17,3,3,17
33,0,Travel_Frequently,1296,Research & Development,6,3,Life Sciences,1,692,3,Male,2,Healthcare Representative,4,Divorced,7725,4,15,2,1,13
50,0,Travel_Rarely,939,Research & Development,24,3,Life Sciences,1,1005,4,Male,4,Manufacturing Director,3,Married,13973,3,22,2,3,12
48,0,Travel_Rarely,1355,Research & Development,4,4,Life Sciences,1,1024,3,Male,3,Healthcare Representative,3,Single,10999,3,27,3,3,15
44,0,Travel_Rarely,1448,Sales,28,3,Medical,1,1039,4,Female,4,Sales Executive,4,Married,13320,3,23,2,3,12
44,0,Travel_Rarely,200,Research & Development,29,4,Other,1,1225,4,Male,2,Research Scientist,4,Single,4541,4,20,3,3,20
40,0,Travel_Rarely,1202,Research & Development,2,1,Medical,1,1375,2,Female,2,Healthcare Representative,3,Divorced,6377,4,15,0,3,12
34,0,Travel_Rarely,404,Research & Development,2,4,Technical Degree,1,1383,3,Female,2,Healthcare Representative,4,Single,6687,3,14,2,4,14
35,0,Non-Travel,208,Research & Development,8,4,Life Sciences,1,1630,3,Female,2,Healthcare Representative,3,Married,4148,3,15,5,3,14
50,0,Travel_Rarely,813,Research & Development,17,5,Life Sciences,1,1656,4,Female,3,Research Director,1,Divorced,13269,3,19,3,3,14
49,0,Travel_Rarely,465,Research & Development,6,1,Life Sciences,1,1661,3,Female,4,Healthcare Representative,3,Married,13966,3,30,3,3,15
38,0,Travel_Frequently,1189,Research & Development,1,3,Life Sciences,1,1668,4,Male,2,Research Scientist,4,Married,4735,3,19,4,4,13
33,0,Travel_Rarely,267,Research & Development,21,3,Medical,1,1698,2,Male,1,Laboratory Technician,2,Married,2028,3,14,6,3,14
47,0,Travel_Rarely,1001,Research & Development,4,3,Life Sciences,1,1827,3,Female,3,Manufacturing Director,2,Divorced,10333,3,28,4,3,22
38,0,Travel_Frequently,1394,Research & Development,8,3,Medical,1,1937,4,Female,2,Research Scientist,2,Divorced,2133,3,20,3,3,20
37,0,Travel_Rarely,161,Research & Development,10,3,Life Sciences,1,2017,3,Female,3,Research Director,4,Married,13744,4,16,2,3,16
30,0,Travel_Rarely,288,Research & Development,2,3,Life Sciences,1,117,3,Male,2,Healthcare Representative,4,Married,4152,3,11,3,3,11
58,0,Travel_Rarely,682,Sales,10,4,Medical,1,131,4,Male,4,Sales Executive,3,Single,13872,3,38,1,2,37
34,0,Travel_Rarely,1354,Research & Development,5,3,Medical,1,153,3,Female,3,Manager,1,Single,11631,3,14,6,3,11
58,1,Travel_Rarely,147,Research & Development,23,4,Medical,1,165,4,Female,3,Healthcare Representative,4,Married,10312,3,40,3,2,40
38,0,Travel_Rarely,119,Sales,3,3,Life Sciences,1,307,1,Male,3,Sales Executive,3,Divorced,10609,3,17,6,2,16
29,0,Travel_Frequently,1413,Sales,1,1,Medical,1,312,2,Female,3,Sales Executive,4,Married,7918,3,11,5,3,11
55,0,Travel_Rarely,452,Research & Development,1,3,Medical,1,374,4,Male,5,Manager,1,Single,19045,3,37,2,3,36
41,0,Travel_Rarely,334,Sales,2,4,Life Sciences,1,410,4,Male,4,Manager,2,Single,16015,3,22,2,3,22
39,0,Travel_Rarely,1132,Research & Development,1,3,Medical,1,417,3,Male,3,Healthcare Representative,4,Divorced,9613,3,19,5,2,18
38,0,Travel_Rarely,343,Research & Development,15,2,Life Sciences,1,461,3,Male,3,Research Director,4,Divorced,11510,3,12,3,3,11
43,0,Travel_Rarely,982,Research & Development,12,3,Life Sciences,1,520,1,Male,4,Research Director,2,Divorced,14336,3,25,3,3,25
31,0,Travel_Rarely,480,Research & Development,7,2,Medical,1,524,2,Female,2,Manufacturing Director,1,Married,4306,3,13,5,1,13
50,0,Travel_Rarely,1099,Research & Development,29,4,Life Sciences,1,569,2,Male,4,Manager,3,Married,17046,3,28,2,3,27
35,0,Travel_Rarely,672,Research & Development,25,3,Technical Degree,1,899,4,Male,3,Manufacturing Director,2,Married,10903,3,16,2,3,13
47,0,Travel_Frequently,1379,Research & Development,16,4,Medical,1,987,3,Male,2,Manufacturing Director,3,Divorced,5067,3,20,3,4,19
35,0,Travel_Rarely,583,Research & Development,25,4,Medical,1,1014,3,Female,3,Healthcare Representative,3,Divorced,10388,3,16,3,2,16
40,0,Travel_Rarely,1492,Research & Development,20,4,Technical Degree,1,1092,1,Male,3,Healthcare Representative,4,Married,10322,4,14,6,3,11
45,0,Non-Travel,1050,Sales,9,4,Life Sciences,1,1117,2,Female,2,Sales Executive,3,Married,5593,3,15,2,3,15
33,0,Travel_Rarely,117,Research & Development,9,3,Medical,1,1238,1,Male,1,Research Scientist,4,Married,2781,3,15,5,3,14
36,0,Travel_Frequently,469,Research & Development,3,3,Technical Degree,1,1257,3,Male,1,Research Scientist,2,Married,3692,3,12,2,2,11
45,1,Travel_Rarely,1449,Sales,2,3,Marketing,1,1277,1,Female,5,Manager,2,Single,18824,3,26,2,3,24
51,0,Travel_Frequently,237,Sales,9,3,Life Sciences,1,1282,4,Male,5,Manager,2,Divorced,19847,4,31,5,2,29
34,0,Travel_Rarely,1440,Sales,7,2,Technical Degree,1,1541,2,Male,1,Sales Representative,3,Married,2308,4,12,4,3,11
43,0,Travel_Rarely,1291,Research & Development,15,2,Life Sciences,1,1666,3,Male,4,Research Director,3,Married,17603,4,14,3,3,14
34,0,Travel_Rarely,1157,Research & Development,5,2,Medical,1,1696,2,Male,2,Laboratory Technician,4,Married,3986,3,15,3,4,15
38,0,Non-Travel,1336,Human Resources,2,3,Human Resources,1,1805,1,Male,1,Human Resources,2,Divorced,2592,3,13,3,3,11
48,0,Travel_Rarely,1224,Research & Development,10,3,Life Sciences,1,1867,4,Male,5,Research Director,2,Married,19665,3,29,3,3,22
34,0,Travel_Frequently,735,Research & Development,22,4,Other,1,1932,3,Male,2,Research Scientist,4,Married,5747,3,16,3,3,15
32,0,Travel_Rarely,801,Sales,1,4,Marketing,1,2016,3,Female,3,Sales Executive,4,Married,10422,3,14,3,3,14
29,0,Travel_Rarely,1389,Research & Development,21,4,Life Sciences,1,20,2,Female,3,Manufacturing Director,1,Divorced,9980,3,10,1,3,10
46,0,Travel_Frequently,638,Research & Development,1,3,Medical,1,124,3,Male,3,Healthcare Representative,1,Married,10673,3,21,5,2,10
30,0,Travel_Rarely,1240,Human Resources,9,3,Human Resources,1,184,3,Male,2,Human Resources,4,Married,6347,3,12,2,1,11
45,0,Travel_Rarely,194,Research & Development,9,3,Life Sciences,1,206,2,Male,2,Laboratory Technician,2,Divorced,2348,3,20,2,1,17
30,0,Travel_Rarely,1339,Sales,5,3,Life Sciences,1,228,2,Female,3,Sales Executive,4,Married,9419,3,12,2,3,10
30,0,Non-Travel,111,Research & Development,9,3,Medical,1,239,3,Male,2,Laboratory Technician,1,Divorced,3072,3,12,4,3,12
34,0,Travel_Frequently,1069,Research & Development,2,1,Life Sciences,1,256,4,Male,2,Manufacturing Director,3,Married,9547,3,10,2,2,10
51,0,Travel_Rarely,1469,Research & Development,8,4,Life Sciences,1,296,2,Male,3,Research Director,2,Married,12490,3,16,5,1,10
34,0,Travel_Rarely,470,Research & Development,2,4,Life Sciences,1,339,4,Male,2,Manufacturing Director,1,Married,5957,3,13,3,3,11
35,0,Travel_Rarely,1232,Sales,16,3,Marketing,1,406,3,Male,3,Sales Executive,2,Married,8020,3,12,3,2,11
45,0,Travel_Frequently,1249,Research & Development,7,3,Life Sciences,1,425,1,Male,3,Laboratory Technician,1,Divorced,5210,3,24,2,3,24
39,0,Travel_Rarely,117,Research & Development,10,1,Medical,1,429,3,Male,4,Manager,1,Married,17068,3,21,3,3,21
31,0,Travel_Frequently,798,Research & Development,7,2,Life Sciences,1,442,3,Female,3,Manufacturing Director,3,Married,8943,4,10,2,3,10
39,0,Travel_Frequently,672,Research & Development,7,2,Medical,1,444,3,Male,5,Manager,4,Married,19272,3,21,2,3,21
45,0,Travel_Rarely,549,Research & Development,8,4,Other,1,452,4,Male,2,Research Scientist,4,Married,3697,3,12,3,3,10
30,0,Travel_Rarely,570,Sales,5,3,Marketing,1,456,4,Female,2,Sales Executive,3,Divorced,6118,3,10,2,3,10
31,0,Travel_Rarely,1232,Research & Development,7,4,Medical,1,462,3,Female,3,Manufacturing Director,4,Single,7143,3,11,2,2,11
36,0,Travel_Frequently,541,Sales,3,4,Medical,1,481,1,Male,3,Sales Executive,4,Married,9699,3,16,2,3,13
36,0,Travel_Rarely,164,Sales,2,2,Medical,1,513,2,Male,3,Sales Executive,3,Married,7596,3,10,2,3,10
55,0,Travel_Rarely,1117,Sales,18,5,Life Sciences,1,597,1,Female,4,Manager,2,Single,16835,4,37,2,3,10
35,0,Travel_Rarely,619,Sales,1,3,Marketing,1,600,2,Male,2,Sales Executive,3,Married,4717,3,15,2,3,11
42,0,Travel_Rarely,319,Research & Development,24,3,Medical,1,605,4,Male,3,Manufacturing Director,1,Married,7406,4,10,5,2,10
52,0,Travel_Rarely,956,Research & Development,6,2,Technical Degree,1,630,4,Male,2,Research Scientist,1,Divorced,5577,3,18,3,3,10
49,0,Travel_Rarely,1245,Research & Development,18,4,Life Sciences,1,638,4,Male,5,Research Director,3,Divorced,19502,3,31,5,3,31
34,0,Travel_Rarely,1397,Research & Development,1,5,Life Sciences,1,683,2,Male,1,Research Scientist,4,Married,2691,3,10,4,2,10
33,1,Travel_Rarely,527,Research & Development,1,4,Other,1,780,4,Male,1,Research Scientist,4,Single,2686,3,10,2,2,10
33,0,Travel_Rarely,213,Research & Development,7,3,Medical,1,817,3,Male,3,Research Director,3,Married,11691,3,14,3,4,13
53,0,Travel_Rarely,102,Research & Development,23,4,Life Sciences,1,901,4,Female,4,Research Director,4,Single,14275,3,33,0,3,12
49,0,Travel_Rarely,527,Research & Development,8,2,Other,1,944,1,Female,3,Laboratory Technician,2,Married,7403,3,29,3,2,26
35,0,Travel_Rarely,882,Sales,3,4,Life Sciences,1,984,4,Male,3,Sales Executive,4,Divorced,7823,3,12,2,3,10
38,0,Travel_Rarely,330,Research & Development,17,1,Life Sciences,1,1088,3,Female,3,Healthcare Representative,3,Married,8823,3,20,4,2,19
46,0,Travel_Rarely,406,Sales,3,1,Marketing,1,1124,1,Male,4,Manager,3,Married,17465,3,23,3,3,12
36,0,Non-Travel,217,Research & Development,18,4,Life Sciences,1,1133,1,Male,2,Manufacturing Director,4,Single,7779,4,18,0,3,11
42,1,Travel_Frequently,481,Sales,12,3,Life Sciences,1,1167,3,Male,4,Sales Executive,1,Single,13758,3,22,2,2,21
34,0,Travel_Frequently,669,Research & Development,1,3,Medical,1,1184,4,Male,2,Healthcare Representative,1,Single,5343,4,14,3,3,13
30,0,Travel_Rarely,1465,Research & Development,1,3,Medical,1,1241,4,Male,1,Research Scientist,2,Married,3579,4,12,2,3,11
54,0,Travel_Rarely,685,Research & Development,3,3,Life Sciences,1,1250,4,Male,4,Research Director,4,Married,17779,3,36,2,3,10
31,0,Travel_Rarely,1062,Research & Development,24,3,Medical,1,1252,3,Female,2,Healthcare Representative,1,Single,6812,3,10,2,3,10
44,0,Travel_Rarely,1099,Sales,5,3,Marketing,1,1267,2,Male,5,Manager,2,Married,18213,3,26,5,3,22
55,0,Non-Travel,177,Research & Development,8,1,Medical,1,1278,4,Male,4,Healthcare Representative,2,Divorced,13577,3,34,3,3,33
44,0,Travel_Rarely,1199,Research & Development,4,2,Life Sciences,1,1288,3,Male,5,Manager,1,Divorced,19190,3,26,4,2,25
34,0,Travel_Frequently,648,Human Resources,11,3,Life Sciences,1,1289,3,Male,2,Human Resources,2,Married,4490,3,14,5,4,10
39,0,Travel_Rarely,412,Research & Development,13,4,Medical,1,1307,3,Female,4,Manager,2,Divorced,17123,3,21,4,3,19
55,0,Travel_Rarely,282,Research & Development,2,2,Medical,1,1336,4,Female,5,Manager,3,Married,19187,3,23,5,3,19
51,0,Travel_Rarely,770,Human Resources,5,3,Life Sciences,1,1352,3,Male,4,Manager,2,Divorced,14026,3,33,2,3,33
58,1,Travel_Rarely,601,Research & Development,7,4,Medical,1,1360,3,Female,3,Manufacturing Director,1,Married,10008,3,31,0,2,10
48,0,Travel_Rarely,855,Research & Development,4,3,Life Sciences,1,1363,4,Male,3,Manufacturing Director,4,Single,7898,3,11,2,3,10
29,0,Travel_Rarely,332,Human Resources,17,3,Other,1,1419,2,Male,3,Human Resources,1,Single,7988,3,10,3,2,10
34,0,Travel_Rarely,1326,Sales,3,3,Other,1,1478,4,Male,2,Sales Executive,1,Single,4759,3,15,2,3,13
42,0,Travel_Frequently,748,Research & Development,9,2,Medical,1,1480,1,Female,1,Laboratory Technician,4,Single,3673,3,12,3,3,12
57,0,Travel_Rarely,405,Research & Development,1,2,Life Sciences,1,1483,2,Male,2,Research Scientist,3,Married,4900,4,13,2,2,12
34,1,Travel_Rarely,790,Sales,24,4,Medical,1,1489,1,Female,2,Sales Executive,2,Single,4599,4,16,2,4,15
54,0,Travel_Frequently,1050,Research & Development,11,4,Medical,1,1520,2,Female,4,Manager,4,Divorced,16032,4,26,2,3,14
34,0,Travel_Rarely,971,Sales,1,3,Technical Degree,1,1535,4,Male,3,Sales Executive,3,Married,7083,3,10,3,3,10
29,0,Travel_Rarely,1370,Research & Development,3,1,Medical,1,1586,2,Male,1,Laboratory Technician,1,Single,4723,3,10,3,3,10
35,0,Travel_Rarely,750,Research & Development,28,3,Life Sciences,1,1596,2,Male,2,Laboratory Technician,3,Married,3407,3,10,3,2,10
35,1,Travel_Frequently,880,Sales,12,4,Other,1,1667,4,Male,2,Sales Executive,4,Single,4581,4,13,2,4,11
34,0,Travel_Rarely,678,Research & Development,19,3,Life Sciences,1,1701,2,Female,1,Research Scientist,4,Married,2929,3,10,3,3,10
43,0,Travel_Rarely,1179,Sales,2,3,Medical,1,1706,4,Male,2,Sales Executive,4,Married,7847,3,10,3,3,10
58,0,Non-Travel,350,Sales,2,3,Medical,1,1824,2,Male,4,Manager,2,Divorced,16291,4,37,0,2,16
36,0,Travel_Rarely,1266,Sales,10,4,Technical Degree,1,1880,2,Female,2,Sales Executive,3,Married,5673,3,10,4,3,10
43,0,Travel_Rarely,574,Research & Development,11,3,Life Sciences,1,1971,1,Male,3,Healthcare Representative,3,Married,7510,3,10,1,3,10
55,0,Travel_Rarely,189,Human Resources,26,4,Human Resources,1,1973,3,Male,5,Manager,2,Married,19636,3,35,0,3,10
42,0,Non-Travel,335,Research & Development,23,2,Life Sciences,1,1976,4,Male,2,Research Scientist,3,Single,4332,3,20,2,3,20
40,0,Travel_Frequently,692,Research & Development,11,3,Technical Degree,1,1985,4,Female,2,Laboratory Technician,3,Married,6323,3,10,2,4,10
56,1,Travel_Rarely,310,Research & Development,7,2,Technical Degree,1,2032,4,Male,1,Laboratory Technician,3,Married,2339,3,14,4,1,10
39,0,Travel_Rarely,722,Sales,24,1,Marketing,1,2056,2,Female,4,Sales Executive,4,Married,12031,3,21,2,2,20
53,0,Travel_Rarely,1219,Sales,2,4,Life Sciences,1,23,1,Female,4,Manager,4,Married,15427,3,31,3,3,25
27,0,Travel_Frequently,994,Sales,8,3,Life Sciences,1,56,4,Male,3,Sales Executive,3,Single,8726,3,9,0,3,9
30,0,Travel_Frequently,721,Research & Development,1,2,Medical,1,57,3,Female,2,Laboratory Technician,4,Single,4011,4,12,2,3,12
35,0,Travel_Frequently,853,Sales,18,5,Life Sciences,1,74,2,Male,3,Sales Executive,1,Married,9069,4,9,3,2,9
32,0,Travel_Rarely,427,Research & Development,1,3,Medical,1,78,1,Male,2,Manufacturing Director,4,Married,6162,4,9,3,3,9
30,0,Travel_Rarely,852,Research & Development,1,1,Life Sciences,1,104,4,Male,2,Laboratory Technician,4,Married,5126,3,10,1,2,10
46,1,Travel_Rarely,669,Sales,9,2,Medical,1,118,3,Male,3,Sales Executive,4,Single,9619,3,9,3,3,9
30,0,Travel_Rarely,1334,Sales,4,2,Medical,1,121,3,Female,2,Sales Executive,2,Divorced,5209,3,11,4,2,11
32,0,Travel_Rarely,1093,Sales,6,4,Medical,1,125,2,Male,2,Sales Executive,3,Single,5010,3,12,0,3,11
35,0,Travel_Rarely,662,Sales,1,5,Marketing,1,204,3,Male,3,Sales Executive,2,Married,7295,3,10,3,3,10
32,0,Travel_Frequently,967,Sales,8,3,Marketing,1,207,2,Female,3,Sales Executive,4,Single,8998,3,9,2,3,9
41,0,Travel_Rarely,465,Research & Development,14,3,Life Sciences,1,227,1,Male,1,Research Scientist,3,Divorced,2451,3,13,2,3,9
40,0,Travel_Rarely,989,Research & Development,4,1,Medical,1,253,4,Female,5,Manager,3,Married,19033,3,21,2,3,20
45,0,Non-Travel,1195,Research & Development,2,2,Medical,1,264,1,Male,4,Manager,4,Married,16792,4,22,1,3,20
32,1,Travel_Rarely,1045,Sales,4,4,Medical,1,291,4,Male,3,Sales Executive,4,Married,10400,3,14,2,2,14
30,0,Non-Travel,829,Research & Development,1,1,Life Sciences,1,292,3,Male,3,Manufacturing Director,3,Single,8474,4,12,2,3,11
37,0,Travel_Frequently,663,Research & Development,11,3,Other,1,306,2,Male,3,Research Director,4,Divorced,12185,3,10,1,3,10
37,0,Travel_Frequently,319,Sales,4,4,Marketing,1,311,1,Male,1,Sales Representative,4,Divorced,2793,3,13,2,3,9
40,0,Travel_Rarely,1300,Research & Development,24,2,Technical Degree,1,335,1,Male,2,Research Scientist,4,Divorced,3319,3,9,3,3,9
36,0,Non-Travel,1105,Research & Development,24,4,Life Sciences,1,419,2,Female,2,Laboratory Technician,2,Married,5674,3,11,3,3,9
32,0,Travel_Rarely,906,Sales,7,3,Life Sciences,1,420,4,Male,2,Sales Executive,3,Married,5484,3,13,3,2,13
38,0,Travel_Rarely,849,Research & Development,25,2,Life Sciences,1,421,1,Female,3,Research Director,2,Married,12061,3,19,2,3,10
30,0,Travel_Rarely,1275,Research & Development,28,2,Medical,1,441,4,Female,2,Research Scientist,4,Married,5775,3,11,2,3,10
39,0,Travel_Frequently,1218,Research & Development,1,1,Life Sciences,1,531,2,Male,5,Manager,3,Divorced,19197,3,21,3,3,21
60,0,Travel_Rarely,422,Research & Development,7,3,Life Sciences,1,549,1,Female,5,Manager,1,Married,19566,3,33,5,1,29
30,0,Non-Travel,1398,Sales,22,4,Other,1,567,3,Female,3,Sales Executive,1,Married,8412,3,10,3,3,9
31,0,Travel_Rarely,1274,Research & Development,9,1,Life Sciences,1,581,3,Male,3,Manufacturing Director,2,Divorced,10648,4,13,6,4,13
33,1,Travel_Frequently,1076,Research & Development,3,3,Life Sciences,1,702,1,Male,1,Research Scientist,1,Single,3348,3,10,3,3,10
50,0,Travel_Rarely,1207,Research & Development,28,1,Medical,1,716,4,Male,1,Laboratory Technician,3,Married,3221,3,20,3,3,20
32,0,Travel_Frequently,430,Research & Development,24,4,Life Sciences,1,772,1,Male,2,Laboratory Technician,4,Married,5309,3,10,2,3,10
